scenario,nSta,mode,speed,m,offeredPerSta,totalOffered,thrTotal,loss,delayMs,jitterMs,efficiency,fairness
stress_test,10,0,0,3,70,700,63.7666,91.0982,3945.15,1.43236,9.10951,0.832448
stress_test,10,0,0,3,80,800,63.2204,92.2777,4107.16,1.42383,7.90255,0.831239
stress_test,10,0,1,1,30,300,66.4721,78.3478,2529.92,1.44772,22.1574,0.646225
stress_test,10,0,1,1,40,400,66.0831,83.856,3206.75,1.38413,16.5208,0.692188
stress_test,10,0,1,1,50,500,64.5368,87.3871,3441.91,1.4154,12.9074,0.639767
stress_test,10,0,1,1,60,600,67.2659,89.0446,3579.09,1.37845,11.211,0.614005
stress_test,10,0,1,1,70,700,66.7079,90.6876,3789.84,1.34192,9.5297,0.6938
stress_test,10,0,1,1,80,800,68.0076,91.6929,3603,1.21402,8.50095,0.594389
stress_test,10,0,1,2,30,300,66.3778,78.3786,2902.45,1.41758,22.1259,0.846692
stress_test,10,0,1,2,40,400,65.4131,84.0197,3348.22,1.4169,16.3533,0.779114
stress_test,10,0,1,2,50,500,66.5301,86.9975,3553.33,1.27838,13.306,0.706804
stress_test,10,0,1,2,60,600,64.748,89.4547,3719.26,1.39891,10.7913,0.761999
stress_test,10,0,1,2,70,700,66.6067,90.7018,3700.58,1.22947,9.51525,0.659818
stress_test,10,0,1,2,80,800,66.9073,91.8273,3919.82,1.41254,8.36342,0.745808
stress_test,10,0,1,3,30,300,64.5063,78.9882,2871.53,1.40754,21.5021,0.781755
stress_test,10,0,1,3,40,400,65.8955,83.9019,3138.87,1.34856,16.4739,0.783733
stress_test,10,0,1,3,50,500,65.6538,87.1688,3639.94,1.40948,13.1308,0.805749
stress_test,10,0,1,3,60,600,66.2157,89.2157,3751.36,1.35716,11.036,0.738214
stress_test,10,0,1,3,70,700,68.8613,90.387,3632.62,1.36885,9.83733,0.767704
stress_test,10,0,1,3,80,800,69.1629,91.5518,3582.48,1.33384,8.64537,0.725418
stress_test,10,0,2,1,30,300,63.9081,79.183,2286.69,1.43232,21.3027,0.590975
stress_test,10,0,2,1,40,400,65.9711,83.8834,2889.44,1.3556,16.4928,0.585418
stress_test,10,0,2,1,50,500,63.9808,87.4958,3207.68,1.38678,12.7962,0.605032
stress_test,10,0,2,1,60,600,63.5416,89.6512,3478.64,1.4607,10.5903,0.610107
stress_test,10,0,2,1,70,700,65.2864,90.8861,3434.51,1.32064,9.32662,0.620374
stress_test,10,0,2,1,80,800,65.5968,91.9874,3424.96,1.42031,8.1996,0.57087
stress_test,10,0,2,2,30,300,64.9622,78.8397,2701.64,1.40555,21.6541,0.677876
stress_test,10,0,2,2,40,400,65.8031,83.9244,3176.35,1.43659,16.4508,0.709004
stress_test,10,0,2,2,50,500,64.4268,87.4086,3561.3,1.4124,12.8854,0.741705
stress_test,10,0,2,2,60,600,64.5093,89.4936,3627.43,1.41028,10.7515,0.683833
stress_test,10,0,2,2,70,700,63.6654,91.1124,3676.17,1.4446,9.09506,0.65999
stress_test,10,0,2,2,80,800,66.868,91.8321,3772.69,1.33193,8.3585,0.681392
stress_test,10,0,2,3,30,300,65.7019,78.5987,2734.7,1.40693,21.9006,0.720235
stress_test,10,0,2,3,40,400,66.2648,83.8116,3172.99,1.39294,16.5662,0.742701
stress_test,10,0,2,3,50,500,63.5328,87.5833,3583.71,1.41156,12.7066,0.753756
stress_test,10,0,2,3,60,600,64.1193,89.5571,3636.03,1.40491,10.6865,0.706311
stress_test,10,0,2,3,70,700,67.1883,90.6206,3779.35,1.33846,9.59833,0.701434
stress_test,10,0,2,3,80,800,66.2157,91.9118,3654.28,1.29421,8.27697,0.803068
stress_test,10,0,3,1,30,300,62.4708,79.6512,2265.22,1.53855,20.8236,0.602513
stress_test,10,0,3,1,40,400,60.8066,85.1451,2938.99,1.4907,15.2017,0.610504
stress_test,10,0,3,1,50,500,65.5045,87.198,2996.52,1.23128,13.1009,0.567356
stress_test,10,0,3,1,60,600,63.7882,89.611,3225.26,1.42586,10.6314,0.61007
stress_test,10,0,3,1,70,700,62.9345,91.2144,3287.49,1.40596,8.99064,0.603594
stress_test,10,0,3,1,80,800,60.2064,92.6459,3651.9,1.54106,7.5258,0.606737
stress_test,10,0,3,2,30,300,63.2577,79.3949,2452.96,1.46835,21.0859,0.659382
stress_test,10,0,3,2,40,400,64.3138,84.2883,2963.53,1.36992,16.0784,0.637207
stress_test,10,0,3,2,50,500,62.9266,87.7018,3362.72,1.49932,12.5853,0.697883
stress_test,10,0,3,2,60,600,61.5886,89.9693,3597.07,1.45528,10.2648,0.751995
stress_test,10,0,3,2,70,700,62.6074,91.2601,3586.77,1.43313,8.94391,0.687531
stress_test,10,0,3,2,80,800,62.0052,92.4261,3851.02,1.44866,7.75064,0.699238
stress_test,10,0,3,3,30,300,64.2568,79.0694,2635.31,1.44539,21.4189,0.687443
stress_test,10,0,3,3,40,400,63.463,84.4961,3179.49,1.4204,15.8658,0.711505
stress_test,10,0,3,3,50,500,63.2027,87.6478,3435.27,1.47825,12.6405,0.688183
stress_test,10,0,3,3,60,600,63.6448,89.6344,3686.55,1.40814,10.6075,0.747491
stress_test,10,0,3,3,70,700,62.9365,91.2141,3654.42,1.41474,8.99092,0.732901
stress_test,10,0,3,3,80,800,64.8669,92.0766,3847.27,1.4092,8.10836,0.735006
